X,Y,Key,Scipy,CPP,Difference,Ratio
1,2,Tau,0.01723432762146534,0.0172343,-2.7621465340660345e-8,0.999998397299509
1,3,Tau,0.01492842535787321,0.0149284,-2.535787321095162e-8,0.999998301369863
1,4,Tau,0.010622194015466704,0.0106222,5.984533296005123e-9,1.0000005633989821
1,5,Tau,-0.0292527560350704,-0.0292528,-4.3964929599682456e-8,1.0000015029329048
1,6,Tau,-0.019763533366241214,-0.0197635,3.336624121441645e-8,0.9999983117269268
1,7,Tau,0.01947676468514209,0.0194768,3.531485790950195e-8,1.000001813178856
1,8,Tau,-0.004421408927438121,-0.00442141,-1.0725618787219005e-9,1.000000242583732
1,9,Tau,0.015417342453517616,0.0154173,-4.2453517616267145e-8,0.9999972463790213
1,10,Tau,0.005418047622405566,0.00541805,2.377594433833341e-9,1.0000004388286334
1,11,Tau,-0.009027221957426909,-0.00902722,1.9574269080613327e-9,0.999999783163977
1,12,Tau,0.024930528701313882,0.0249305,-2.8701313881107637e-8,0.9999988487482867
1,13,Tau,-0.0066026961159024065,-0.0066027,-3.884097593900848e-9,1.0000005882593301
1,14,Tau,-0.042362653668714084,-0.0423627,-4.6331285918910226e-8,1.0000010936823336
1,15,Tau,0.025182334055774885,0.0251823,-3.4055774884161893e-8,0.999998647632312
2,3,Tau,-0.015248101920409938,-0.0152481,1.920409936975731e-9,0.999999874055804
2,4,Tau,0.004750487741814164,0.00475049,2.2581858353729056e-9,1.0000004753587333
2,5,Tau,-0.030150671085725028,-0.0301507,-2.8914274970842646e-8,1.0000009589927497
2,6,Tau,0.015476106527513338,0.0154761,-6.5275133388775775e-9,0.9999995782199271
2,7,Tau,-0.006402933502573867,-0.00640293,3.5025738663596595e-9,0.9999994529735683
2,8,Tau,-0.018891474508144702,-0.0188915,-2.5491855296794208e-8,1.0000013493840985
2,9,Tau,0.014961333239310814,0.0149613,-3.3239310814198175e-8,0.9999977783189317
2,10,Tau,0.004811602378769715,0.0048116,-2.3787697150598475e-9,0.9999995056179776
2,11,Tau,0.018412367240123385,0.0184124,3.2759876613525085e-8,1.000001779232197
2,12,Tau,0.050459994424310005,0.05046,5.575689993042587e-9,1.0000001104972376
2,13,Tau,-0.03529411764705882,-0.0352941,1.7647058821179673e-8,0.9999995
2,14,Tau,0.018840436342707087,0.0188404,-3.634270708680054e-8,0.999998071026253
2,15,Tau,-0.02039443510166641,-0.0203944,3.5101666410325416e-8,0.9999982788605698
3,4,Tau,0.005016101356274828,0.0050161,-1.3562748276893521e-9,0.9999997296157451
3,5,Tau,-0.0021390122934442798,-0.00213901,2.293444279540674e-9,0.999998927802198
3,6,Tau,0.009804198105446253,0.0098042,1.8945537482578656e-9,1.0000001932390317
3,7,Tau,0.007914345485743835,0.00791435,4.514256165058517e-9,1.0000005703890704
3,8,Tau,-0.008513739040500198,-0.00851374,-9.594998025275192e-10,1.0000001127001659
3,9,Tau,0.004273323460968902,0.00427332,-3.4609689020942414e-9,0.9999991900990098
3,10,Tau,-0.015443198646075733,-0.0154432,-1.3539242678384245e-9,1.0000000876712332
3,11,Tau,-0.0037249206363481027,-0.00372492,6.363481026838702e-10,0.9999998291646548
3,12,Tau,-0.028556525805552305,-0.0285565,2.5805552306135127e-8,0.9999990963343202
3,13,Tau,-0.001768033310251176,-0.00176803,3.3102511758174163e-9,0.9999981277212615
3,14,Tau,0.023049182981555255,0.0230492,1.7018444743721606e-8,1.0000007383534921
3,15,Tau,0.011415775605456983,0.0114158,2.43945430175585e-8,1.000002136915078
4,5,Tau,-0.019335730907552355,-0.0193357,3.090755235427012e-8,0.9999984015317289
4,6,Tau,0.022581858355076038,0.0225819,4.164492396069308e-8,1.0000018441761216
4,7,Tau,0.0346167407093999,0.0346167,-4.0709399899696574e-8,0.9999988239967407
4,8,Tau,0.009942881320076159,0.00994288,-1.3200761594944765e-9,0.9999998672340424
4,9,Tau,-0.0069341607314951925,-0.00693416,7.314951925435631e-10,0.9999998945084747
4,10,Tau,-0.005298168911454294,-0.00529817,-1.088545705831001e-9,1.0000002054569652
4,11,Tau,0.004584656060864951,0.00458466,3.93913504852933e-9,1.000000859199686
4,12,Tau,0.015178467044974235,0.0151785,3.295502576383669e-8,1.0000021711695697
4,13,Tau,-0.0047141559574448945,-0.00471416,-4.0425551057696185e-9,1.000000857535292
4,14,Tau,0.03025441333848935,0.0302544,-1.3338489347758387e-8,0.9999995591225254
4,15,Tau,0.014020162414453627,0.0140202,3.7585546373147816e-8,1.0000026808210392
5,6,Tau,0.03884775403709188,0.0388478,4.5962908118424295e-8,1.0000011831548377
5,7,Tau,-0.01165644171779141,-0.0116564,4.1717791408879545e-8,0.9999964210526318
5,8,Tau,-0.012373363420539218,-0.0123734,-3.657946078157448e-8,1.000002956306991
5,9,Tau,0.0030369273440989117,0.00303693,2.6559010884649736e-9,1.0000008745356037
5,10,Tau,-0.01348282913757845,-0.0134828,2.9137578450716406e-8,0.9999978389121339
5,11,Tau,0.0168619657005135,0.016862,3.42994864975521e-8,1.0000020341333333
5,12,Tau,0.018200131298506256,0.0182001,-3.129850625546715e-8,0.9999982803142603
5,13,Tau,-0.019987949315179367,-0.019988,-5.068482063219637e-8,1.0000025357689193
5,14,Tau,-0.011797080856497928,-0.0117971,-1.9143502071744534e-8,1.0000016227321238
5,15,Tau,-0.008649513925735406,-0.00864951,3.9257354068900074e-9,0.999999546132252
6,7,Tau,-0.000446606962367487,-0.000446607,-3.7632512991242484e-11,1.000000084263158
6,8,Tau,0.017166161295630304,0.0171662,3.870436969533042e-8,1.0000022546898535
6,9,Tau,0.017260183814023458,0.0172602,1.61859765417105e-8,1.0000009377638568
6,10,Tau,-0.012418024116775967,-0.012418,2.4116775966878667e-8,0.9999980579216355
6,11,Tau,-0.03038751045441873,-0.0303875,1.0454418730015957e-8,0.9999996559633029
6,12,Tau,-0.0019263109616266627,-0.00192631,9.616266626304854e-10,0.9999995007936507
6,13,Tau,0.014441037078338444,0.014441,-3.707833844297792e-8,0.9999974324324326
6,14,Tau,-0.018815255807260987,-0.0188153,-4.4192739013376725e-8,1.000002348771628
6,15,Tau,0.05094202181713535,0.050942,-2.181713534832319e-8,0.999999571726159
7,8,Tau,0.007293796864349011,0.0072938,3.1356509888613715e-9,1.0000004299065421
7,9,Tau,0.011275650518299133,0.0112757,4.948170086692405e-8,1.0000043883677299
7,10,Tau,-0.00945631478739158,-0.00945632,-5.21260842129001e-9,1.0000005512304253
7,11,Tau,0.015466244592929666,0.0154662,-4.459292966656203e-8,0.9999971167577625
7,12,Tau,-0.008476847396962148,-0.00847685,-2.603037851239831e-9,1.0000003070761723
7,13,Tau,0.00605591877478709,0.00605592,1.2252129102940934e-9,1.0000002023166024
7,14,Tau,0.011059650889862136,0.0110597,4.9110137864336045e-8,1.0000044404781265
7,15,Tau,0.003005476766459527,0.00300548,3.233540473140256e-9,1.000001075882705
8,9,Tau,0.031196671602848877,0.0311967,2.839715112362695e-8,1.0000009102622063
8,10,Tau,-0.016068448393390215,-0.0160684,4.839339021525668e-8,0.9999969882972499
8,11,Tau,0.022444850130848855,0.0224448,-5.013084885402419e-8,0.9999977664876993
8,12,Tau,0.005501946994972885,0.00550195,3.005027115164649e-9,1.0000005461752208
8,13,Tau,-0.027117638065775156,-0.0271176,3.806577515697018e-8,0.999998596272468
8,14,Tau,0.011203539663839853,0.0112035,-3.966383985316846e-8,0.9999964597046074
8,15,Tau,-0.039970502801334566,-0.0399705,2.8013345670929723e-9,0.999999929914953
9,10,Tau,0.008758197588322402,0.0087582,2.4116775989430073e-9,1.0000002753623192
9,11,Tau,-0.025297445074957056,-0.0252974,4.507495705505238e-8,0.9999982182012088
9,12,Tau,0.011922983533728428,0.011923,1.646627157195213e-8,1.0000013810529491
9,13,Tau,-0.020750559817261257,-0.0207506,-4.018273874403788e-8,1.0000019364652857
9,14,Tau,0.01920735271635026,0.0192074,4.728364973866084e-8,1.0000024617473546
9,15,Tau,0.012250330494527732,0.0122503,-3.049452773108696e-8,0.9999975107179562
10,11,Tau,0.007282570572947112,0.00728257,-5.729471116294738e-10,0.9999999213262535
10,12,Tau,0.02168943406746585,0.0216894,-3.406746584833087e-8,0.9999984293059127
10,13,Tau,-0.028516956392708435,-0.028517,-4.3607291565911366e-8,1.0000015291706088
10,14,Tau,-0.005965988291051017,-0.00596599,-1.708948983193681e-9,1.0000002864485982
10,15,Tau,0.0038436288748797177,0.00384363,1.1251202820979078e-9,1.0000002927234442
11,12,Tau,-0.00855662766256765,0.00806404,0.016620667662567652,0.9424320325725338
11,13,Tau,0.010908750667349153,0.0107141,-0.0001946506673491527,0.9821564656407668
11,14,Tau,0.03746853489563609,0.0356083,-0.0018602348956360884,0.9503520780618313
11,15,Tau,0.020824696415187065,-0.0106829,-0.031507596415187064,0.5129918721028346
12,13,Tau,0.004891567934594333,0.0208713,0.015979732065405667,4.266791400849858
12,14,Tau,-0.017776391704350535,-0.00736325,0.010413141704350535,0.41421510745614043
12,15,Tau,0.029601325718668255,0.0421495,0.012548174281331745,1.423905820995651
13,14,Tau,-0.0015150155173492396,-0.0149415,-0.01342648448265076,9.862275223518852
13,15,Tau,-0.00898393226215081,-0.0307623,-0.02177836773784919,3.4241464764378478
14,15,Tau,0.02940411137132448,0.0243343,-0.005069811371324482,0.8275815477876107
1,2,Time,965.040263,0.456157,-964.584106,0.0004726818325506487
1,3,Time,1.152314,0.444982,-0.7073320000000001,0.38616384075868204
1,4,Time,0.987927,0.405846,-0.5820810000000001,0.4108056566932577
1,5,Time,1.144637,0.449879,-0.694758,0.3930320267473444
1,6,Time,1.241608,0.411082,-0.8305260000000001,0.33108839504900095
1,7,Time,1.094843,0.451441,-0.643402,0.4123340058802951
1,8,Time,1.13108,0.405532,-0.7255480000000001,0.3585352052905188
1,9,Time,1.07282,0.408794,-0.6640260000000001,0.38104621464924215
1,10,Time,0.978671,0.406195,-0.572476,0.4150475491763831
1,11,Time,1.235633,0.36369,-0.8719429999999999,0.29433496839271855
1,12,Time,1.082955,0.36262,-0.720335,0.3348430913565199
1,13,Time,0.933061,0.366771,-0.56629,0.3930836247576525
