Date,Close,CloseUSD,Returns10d,Returns01d,Turnover
2009-01-28,0.6628047823905945,0.18995350998498106,-0.017333170498412764,0.03221306846345695,390832.4518552815
2009-01-29,0.6610060334205627,0.1896608611903371,-0.039215805187252095,-0.0027138442838992027,292798.3587630579
2009-01-30,0.6619054675102234,0.18973927691277725,-0.006747451112977476,0.0013607048108263964,237388.99276725677
2009-01-31,,,,,
2009-02-01,,,,,
2009-02-02,0.6466168165206909,0.18526109976812621,-0.041333264523207736,-0.023097937303707683,86973.6476283314
2009-02-03,0.6610060334205627,0.18895604408569058,0.04255303747340933,0.022253081782340756,133513.8077303161
2009-02-04,0.6565094590187073,0.18811159284203646,0.0579713374551154,-0.006802622327948593,228733.98126807343
2009-02-05,0.652012825012207,0.18703752868967496,0.041666726182534974,-0.0068493057407298386,238328.31865808452
2009-02-06,0.6529120802879333,0.18729549061615985,0.02253535405018048,0.0013791987538120942,348743.8688566053
2009-02-07,,,,,
2009-02-08,,,,,
2009-02-09,0.6610060334205627,0.1895629576772477,0.04107635508028129,0.012396696855509148,159728.93470790912
2009-02-10,0.6646033525466919,0.19076966316857794,0.035014055524799526,0.005442188034977313,208843.40313541333
2009-02-11,0.669999361038208,0.19207045295364733,0.010854747640269391,0.008119141245434891,133327.20704735487
2009-02-12,0.652012825012207,0.18681245344456104,-0.013605334828515558,-0.026845601760171367,147751.4964279414
2009-02-13,0.6744959354400635,0.1929612174052535,0.019021549976312224,0.03448261991999235,151040.3515438505
2009-02-14,,,,,
2009-02-15,,,,,
2009-02-16,0.6744959354400635,0.1930164359536596,0.04311536323689236,0.0,56931.585312604395
2009-02-17,0.6430194973945618,0.1834577738643543,-0.02721085000226786,-0.04666660893214347,186170.97983609792
2009-02-18,0.638522744178772,0.18196196864688155,-0.027397495333609134,-0.006993183307831385,129723.9967789401
2009-02-19,0.6241335272789001,0.17660324475224248,-0.04275881802291992,-0.02253516735473271,199651.28167692712
2009-02-20,0.6160396933555603,0.1741848879903753,-0.056473739796807476,-0.012968112702785528,236955.06845329306
2009-02-21,,,,,
2009-02-22,,,,,
2009-02-23,0.6160396933555603,0.17366439076355547,-0.06802712500566965,0.0,227609.13606184558
2009-02-24,0.6268316507339478,0.17629915644324223,-0.05683345061081446,0.017518282498330207,269713.37246523536
2009-02-25,0.6115430593490601,0.17209597842945268,-0.08724829468279804,-0.024390267094819618,154056.8067523977
2009-02-26,0.6115430593490601,0.1719073085256255,-0.062068971821818475,0.0,54797.49733516531
2009-02-27,0.5935565829277039,0.16649553518308663,-0.11999976317062921,-0.02941162710684908,827185.2006006256
2009-02-28,,,,,
2009-03-01,,,,,
2009-03-02,0.5620799660682678,0.15613332390785217,-0.1666666372102773,-0.05303052440961631,292298.2891465635
2009-03-03,0.5512881278991699,0.1526691021598366,-0.1426572131437327,-0.019199827107495904,220439.9239723354
2009-03-04,0.5962544679641724,0.1649025023408851,-0.06619697825950177,0.08156595034316916,267470.6456613003
2009-03-05,0.5710732936859131,0.15736815389950484,-0.08501423377192907,-0.042232260940931576,232132.94854497566
2009-03-06,0.5674757957458496,0.15596421485388196,-0.0788324163743147,-0.006299538045009823,143774.71503960626
2009-03-07,,,,,
2009-03-08,,,,,
2009-03-09,0.5485900640487671,0.1508483141443526,-0.10948909629409742,-0.03328024179826117,91934.69128813334
2009-03-10,0.5791671872138977,0.15930004874271744,-0.07604029481319341,0.055737653976927426,139239.47349730268
2009-03-11,0.5728719830513,0.15723122905209277,-0.06323524681797932,-0.010869407489883742,88993.52396221913
2009-03-12,0.5935565829277039,0.1628323776274838,-0.02941162710684908,0.036106844964264084,223379.22518530485
2009-03-13,0.6079457998275757,0.1665604931034454,0.024242367642352436,0.024242367642352436,292641.53507319983
2009-03-14,,,,,
2009-03-15,,,,,
2009-03-16,0.5962544679641724,0.16376118318159086,0.06080007109122598,-0.01923087858608319,192782.98875861822
2009-03-17,0.6106436848640442,0.16748318290291941,0.10766703282921108,0.024132677695484217,253074.30549642217
2009-03-18,0.6025497317314148,0.16472108576583236,0.010558015252676745,-0.01325478889449494,322534.9235981021
2009-03-19,0.5746705532073975,0.15755189943999928,0.006299120552926585,-0.046268676352916205,526409.9506113573
2009-03-20,0.5638785362243652,0.15418312813747273,-0.0063390536626436456,-0.018779484911483513,118109.26833949701
2009-03-21,,,,,
2009-03-22,,,,,
2009-03-23,0.5746705532073975,0.15584286188675187,0.047540943352397225,0.019138903664065232,315855.32331321604
2009-03-24,,,,,
2009-03-25,0.5872612595558167,0.1592141140181149,0.02511778709769441,,367645.3821793245
2009-03-26,0.6070464253425598,0.16431084729802672,0.022727138073876052,0.03369056866054465,486718.0558285866
2009-03-27,0.6196370124816895,0.16678429491862873,0.01923068250069271,0.020740731867459283,350646.01600563445
2009-03-28,,,,,
2009-03-29,,,,,
2009-03-30,0.6079457998275757,0.16363743535410627,0.019607956823068706,-0.01886784104017547,297323.2248572165
2009-03-31,0.6286303997039795,0.1690548338588085,0.029455335878794786,0.034023756529398375,471492.96491386456
2009-04-01,0.6259322762489319,0.16863762595277954,0.038805999382536926,-0.004292066461179966,390499.20057920954
2009-04-02,,,,,
2009-04-03,0.638522744178772,0.17290082431052586,0.13237639519711397,,224158.4720220599
2009-04-04,,,,,
2009-04-05,,,,,
2009-04-06,0.6367241740226746,0.17325827864562574,0.10798120848360582,-0.00281676756622129,240670.73240656336
2009-04-07,,,,,
2009-04-08,0.6403214335441589,0.17411867669453676,0.09035190577439955,0.022988361267225255,113081.38563534367
2009-04-09,,,,,
2009-04-10,,,,,
2009-04-11,,,,,
2009-04-12,,,,,
2009-04-13,0.6798919439315796,0.18474822530137214,0.11834302354652193,,430564.913211534
2009-04-14,,,,,
2009-04-15,,,,,
2009-04-16,,,,,
2009-04-17,0.7086704969406128,0.19251595907218302,0.10985944259833769,,437187.09584415774
2009-04-18,,,,,
2009-04-19,,,,,
2009-04-20,0.6807912588119507,0.18463637958666487,0.06920906506638591,-0.03934019865229188,362591.5934549232
2009-04-21,0.6843885183334351,0.18538071356342029,0.09339068187187594,0.005283939056094811,357457.17495779716
2009-04-22,0.6816906332969666,0.1845099965617297,0.06460692643666532,-0.003942037255443953,383338.9565042698
2009-04-23,,,,,
2009-04-24,,,,,
2009-04-25,,,,,
2009-04-26,,,,,
2009-04-27,0.6565094590187073,0.17735829344572812,-0.03439147223551364,-0.02666654530634227,170952.0681067726
2009-04-28,,,,,
2009-04-29,,,,,
2009-04-30,,,,,
2009-05-01,,,,,
2009-05-02,,,,,
2009-05-03,,,,,
2009-05-04,0.669999361038208,0.18132103624751914,-0.015851992272309157,,293011.18079725746
2009-05-05,0.7284555435180664,0.19695972516373297,0.06438890192363189,0.08724811675831567,714625.2215741089
2009-05-06,0.7491400837898254,0.20191366605299593,0.098944370361439,0.028395061930427845,1537824.558158644
2009-05-07,0.7464421391487122,0.20057561175566632,0.10814402910448262,-0.0036013887115272647,775923.6471065813
2009-05-08,0.853462278842926,0.2294006770355139,0.2653334645910046,0.14337365762370569,1614229.9372117221
2009-05-09,,,,,
2009-05-10,,,,,
2009-05-11,0.9263078570365906,0.24904096169823645,0.41095888918516765,0.08535301442077126,1706989.7360747496
2009-05-12,0.9353011250495911,0.2514453114631801,0.43053646157728376,0.009708724744893482,1464538.4023025676
2009-05-13,0.8858381509780884,0.23789192227571726,0.3530221160821192,-0.05288454461003678,827255.5916143039
2009-05-14,0.8993280529975891,0.24139146795082378,0.36986305474078884,0.015228404878031121,916060.3660203102
2009-05-15,,,,,
2009-05-16,,,,,
2009-05-17,,,,,
